x(mm),Q (W/m2)
1275.01,274447
1275.51,274430
1276.01,274413
1276.51,274396
1277.01,274379
1277.51,274362
1278.01,274346
1278.51,274329
1279.01,274312
1279.5,274295
1280,274279
1280.5,274262
1281,274245
1281.5,274229
1281.99,274212
1282.49,274196
1282.99,274180
1283.48,274163
1283.98,274147
1284.48,274131
1284.97,274115
1285.47,274099
1285.96,274083
1286.46,274067
1286.96,274052
1287.45,274036
1287.95,274020
1288.44,274005
1288.94,273989
1289.43,273974
1289.92,273958
1290.42,273943
1290.91,273927
1291.41,273912
1291.9,273897
1292.39,273882
1292.88,273866
1293.38,273851
1293.87,273836
1294.36,273820
1294.85,273804
1295.35,273789
1295.84,273773
1296.33,273758
1296.82,273742
1297.31,273726
1297.8,273710
1298.29,273695
1298.78,273679
1299.28,273663
1299.77,273647
1300.26,273631
1300.75,273615
1301.24,273599
1301.72,273583
1302.21,273567
1302.7,273551
1303.19,273534
1303.68,273518
1304.17,273502
1304.66,273486
1305.15,273470
1305.63,273454
1306.12,273438
1306.61,273422
1307.1,273406
1307.58,273390
1308.07,273375
1308.56,273359
1309.04,273343
1309.53,273327
1310.01,273312
1310.5,273296
1310.99,273281
1311.47,273266
1311.96,273250
1312.44,273235
1312.93,273220
1313.41,273205
1313.9,273190
1314.38,273175
1314.87,273160
1315.35,273145
1315.83,273131
1316.32,273116
1316.8,273101
1317.28,273086
1317.77,273072
1318.25,273057
1318.73,273042
1319.21,273028
1319.7,273013
1320.18,272999
1320.66,272984
1321.14,272969
1321.62,272954
1322.1,272940
1322.59,272925
1323.07,272910
1323.55,272895
1324.03,272880
1324.51,272865
1324.99,272850
1325.47,272835
1325.95,272820
1326.43,272805
1326.91,272789
1327.39,272774
1327.86,272758
1328.34,272743
1328.82,272728
1329.3,272712
1329.78,272696
1330.26,272681
1330.73,272665
1331.21,272650
1331.69,272634
1332.17,272619
1332.64,272603
1333.12,272588
1333.6,272572
1334.07,272557
1334.55,272541
1335.03,272526
1335.5,272511
1335.98,272496
1336.45,272481
1336.93,272466
1337.4,272451
1337.88,272436
1338.35,272421
1338.83,272407
1339.3,272392
1339.78,272378
1340.25,272364
1340.72,272349
1341.2,272335
1341.67,272321
1342.14,272307
1342.62,272293
