x(mm),P (Pa)
1415.36,15358.4
1416.02,15358.5
1416.69,15358.5
1417.35,15358.5
1418.01,15358.4
1418.68,15358.3
1419.34,15358.2
1420.01,15358.1
1420.67,15357.9
1421.33,15357.7
1421.99,15357.5
1422.65,15357.3
1423.31,15357
1423.98,15356.7
1424.64,15356.4
1425.3,15356.1
1425.95,15355.7
1426.61,15355.4
1427.27,15355
1427.93,15354.7
1428.59,15354.3
1429.25,15353.9
1429.9,15353.6
1430.56,15353.2
1431.22,15352.9
1431.87,15352.6
1432.53,15352.2
1433.18,15351.9
1433.84,15351.7
1434.49,15351.4
1435.15,15351.2
1435.8,15351
1436.45,15350.8
1437.11,15350.7
1437.76,15350.6
1438.41,15350.5
1439.06,15350.5
1439.71,15350.5
1440.36,15350.5
1441.01,15350.6
1441.66,15350.7
1442.31,15350.8
1442.96,15351
1443.61,15351.2
1444.26,15351.4
1444.91,15351.7
1445.56,15351.9
1446.2,15352.2
1446.85,15352.6
1447.5,15352.9
1448.14,15353.2
1448.79,15353.6
1449.43,15354
1450.08,15354.4
1450.72,15354.7
1451.37,15355.1
1452.01,15355.5
1452.65,15355.9
1452.65,15355.9
1453.3,15356.3
1453.94,15356.6
1454.58,15356.9
1455.22,15357.3
1455.87,15357.6
1456.51,15357.9
1457.15,15358.1
1457.79,15358.3
1458.43,15358.5
1459.07,15358.7
1459.71,15358.8
1460.35,15359
1460.98,15359
1461.62,15359.1
1462.26,15359.1
1462.9,15359
1463.53,15358.9
1464.17,15358.8
1464.81,15358.7
1465.44,15358.5
1466.08,15358.3
1466.71,15358
1467.35,15357.7
1467.98,15357.4
1468.62,15357.1
1469.25,15356.7
1469.88,15356.3
1470.51,15355.9
1471.15,15355.5
1471.78,15355.1
1472.41,15354.6
1473.04,15354.2
1473.67,15353.7
1474.3,15353.3
1474.93,15352.8
1475.56,15352.4
1476.19,15351.9
1476.82,15351.5
1477.45,15351.1
1478.08,15350.7
1478.7,15350.4
1479.33,15350
1479.96,15349.7
1480.58,15349.4
1481.21,15349.1
1481.84,15348.9
1482.46,15348.7
1483.09,15348.6
1483.71,15348.4
1484.34,15348.4
1484.96,15348.3
1485.58,15348.3
1486.21,15348.3
1486.83,15348.4
1487.45,15348.5
1488.07,15348.7
1488.7,15348.9
1489.32,15349.1
1489.94,15349.3
1490.56,15349.6
1491.18,15350
1491.8,15350.3
1492.42,15350.7
1493.04,15351.1
1493.66,15351.5
1494.27,15351.9
1494.89,15352.4
1495.51,15352.9
1496.13,15353.4
1496.74,15353.8
1497.36,15354.3
1497.98,15354.8
1498.59,15355.3
1499.21,15355.8
1499.82,15356.3
1500.44,15356.7
1501.05,15357.2
