x (mm),Q (W/m2)
923.247,91525.7
923.91,91515.4
924.572,91505.2
925.235,91494.9
925.898,91484.6
926.56,91474.3
927.223,91464.1
927.885,91453.8
928.548,91443.5
929.21,91433.3
929.873,91423
930.536,91412.8
931.198,91402.5
931.861,91392.3
932.523,91382
933.186,91371.8
933.849,91361.6
934.511,91351.5
935.174,91341.3
935.836,91331.1
936.499,91321
937.162,91310.9
937.824,91300.8
938.487,91290.8
939.149,91280.7
939.812,91270.7
940.474,91260.7
941.137,91250.7
941.8,91240.7
942.462,91230.7
943.125,91220.8
943.787,91210.8
944.45,91200.9
945.113,91191
945.775,91181.1
946.438,91171.2
947.1,91161.3
947.763,91151.4
948.425,91141.5
949.088,91131.6
949.751,91121.7
950.413,91111.8
951.076,91102
951.738,91092.1
952.401,91082.2
953.064,91072.3
953.726,91062.4
954.389,91052.6
955.051,91042.7
955.714,91032.8
956.376,91022.9
957.039,91013.1
957.702,91003.2
958.364,90993.3
959.027,90983.5
959.689,90973.6
960.352,90963.7
961.015,90953.9
961.677,90944
962.34,90934.2
963.002,90924.3
963.665,90914.5
964.328,90904.6
964.99,90894.8
965.653,90885
966.315,90875.2
966.978,90865.4
967.64,90855.6
968.303,90845.8
968.966,90836.1
969.628,90826.3
970.291,90816.6
970.953,90806.8
971.616,90797.1
972.279,90787.4
972.941,90777.7
973.604,90768
974.266,90758.3
974.929,90748.6
975.592,90739
976.254,90729.3
976.917,90719.7
977.579,90710
978.242,90700.4
978.904,90690.8
979.567,90681.2
980.23,90671.6
980.892,90662
981.555,90652.5
982.217,90642.9
982.88,90633.4
983.543,90623.8
984.205,90614.3
984.868,90604.8
985.53,90595.3
986.193,90585.8
986.856,90576.3
987.518,90566.8
988.181,90557.4
988.843,90547.9
989.506,90538.5
990.168,90529
990.831,90519.6
991.494,90510.2
992.156,90500.8
992.819,90491.4
993.481,90482
994.144,90472.6
994.807,90463.2
995.469,90453.8
996.132,90444.4
996.794,90435.1
997.457,90425.7
998.119,90416.4
998.782,90407
999.445,90397.7
1000.11,90388.3
1000.77,90379
1001.43,90369.7
1002.09,90360.3
1002.76,90351
1003.42,90341.7
1004.08,90332.4
1004.75,90323.1
1005.41,90313.8
1006.07,90304.5
1006.73,90295.2
1007.4,90285.9
1008.06,90276.6
1008.72,90267.3
1009.38,90258
1010.05,90248.7
1010.71,90239.5
1011.37,90230.2
1012.03,90220.9
1012.7,90211.7
1013.36,90202.4
1014.02,90193.1
1014.68,90183.9
1015.35,90174.6
1016.01,90165.4
1016.67,90156.2
1017.33,90146.9
1018,90137.7
1018.66,90128.5
1019.32,90119.3
1019.98,90110.1
1020.65,90100.9
1021.31,90091.8
1021.97,90082.6
1022.64,90073.4
1023.3,90064.3
1023.96,90055.1
1024.62,90046
1025.29,90036.9
1025.95,90027.8
1026.61,90018.6
1027.27,90009.6
1027.94,90000.5
1028.6,89991.4
1029.26,89982.4
