x (mm),Q (W/m2)
537.622,9.28E+04
538.285,9.28E+04
538.947,9.28E+04
539.61,9.28E+04
540.272,9.28E+04
540.935,9.27E+04
541.598,9.27E+04
542.26,9.27E+04
542.923,9.27E+04
543.585,9.27E+04
544.248,9.26E+04
544.91,9.26E+04
545.573,9.26E+04
546.236,9.26E+04
546.898,9.26E+04
547.561,9.26E+04
548.223,9.25E+04
548.886,9.25E+04
549.549,9.25E+04
550.211,9.25E+04
550.874,9.25E+04
551.536,9.25E+04
552.199,9.24E+04
552.862,9.24E+04
553.524,9.24E+04
554.187,9.24E+04
554.849,9.24E+04
555.512,9.24E+04
556.174,9.23E+04
556.837,9.23E+04
557.5,9.23E+04
558.162,9.23E+04
558.825,9.23E+04
559.487,9.22E+04
560.15,9.22E+04
560.813,9.22E+04
561.475,9.22E+04
562.138,9.22E+04
562.8,9.22E+04
563.463,9.21E+04
564.125,9.21E+04
564.788,9.21E+04
565.451,9.21E+04
566.113,9.21E+04
566.776,9.21E+04
567.438,9.20E+04
568.101,9.20E+04
568.764,9.20E+04
569.426,9.20E+04
570.089,9.20E+04
570.751,9.20E+04
571.414,9.19E+04
572.076,9.19E+04
572.739,9.19E+04
573.402,9.19E+04
574.064,9.19E+04
574.727,9.19E+04
575.389,9.18E+04
576.052,9.18E+04
576.715,9.18E+04
577.377,9.18E+04
578.04,9.18E+04
578.702,9.18E+04
579.365,9.17E+04
580.028,9.17E+04
580.69,9.17E+04
581.353,9.17E+04
582.015,9.17E+04
582.678,9.17E+04
583.34,9.16E+04
584.003,9.16E+04
584.666,9.16E+04
585.328,9.16E+04
585.991,9.16E+04
586.653,9.16E+04
587.316,9.15E+04
587.979,9.15E+04
588.641,9.15E+04
589.304,9.15E+04
589.966,9.15E+04
590.629,9.15E+04
591.291,9.14E+04
591.954,9.14E+04
592.617,9.14E+04
593.279,9.14E+04
593.942,9.14E+04
594.604,9.14E+04
595.267,9.13E+04
595.93,9.13E+04
596.592,9.13E+04
597.255,9.13E+04
597.917,9.13E+04
598.58,9.13E+04
599.243,9.13E+04
599.905,9.12E+04
600.568,9.12E+04
601.23,9.12E+04
601.893,9.12E+04
602.555,9.12E+04
603.218,9.12E+04
603.881,9.11E+04
604.543,9.11E+04
605.206,9.11E+04
605.868,9.11E+04
606.531,9.11E+04
607.194,9.11E+04
607.856,9.10E+04
608.519,9.10E+04
609.181,9.10E+04
609.844,9.10E+04
610.506,9.10E+04
611.169,9.10E+04
611.832,9.10E+04
612.494,9.09E+04
613.157,9.09E+04
613.819,9.09E+04
614.482,9.09E+04
615.145,9.09E+04
615.807,9.09E+04
616.47,9.08E+04
617.132,9.08E+04
617.795,9.08E+04
618.458,9.08E+04
619.12,9.08E+04
619.783,9.08E+04
620.445,9.08E+04
621.108,9.07E+04
621.77,9.07E+04
622.433,9.07E+04
623.096,9.07E+04
623.758,9.07E+04
624.421,9.07E+04
625.083,9.06E+04
625.746,9.06E+04
626.409,9.06E+04
627.071,9.06E+04
627.734,9.06E+04
628.396,9.06E+04
629.059,9.06E+04
629.722,9.05E+04
630.384,9.05E+04
631.047,9.05E+04
631.709,9.05E+04
632.372,9.05E+04
633.034,9.05E+04
633.697,9.05E+04
634.36,9.04E+04
635.022,9.04E+04
635.685,9.04E+04
636.347,9.04E+04
637.01,9.04E+04
637.673,9.04E+04
638.335,9.03E+04
638.998,9.03E+04
639.66,9.03E+04
640.323,9.03E+04
640.985,9.03E+04
641.648,9.03E+04
642.311,9.03E+04
642.973,9.02E+04
643.636,9.02E+04
644.298,9.02E+04
644.961,9.02E+04
645.624,9.02E+04
646.286,9.02E+04
646.949,9.02E+04
647.611,9.01E+04
648.274,9.01E+04
648.937,9.01E+04
649.599,9.01E+04
650.262,9.01E+04
650.924,9.01E+04
651.587,9.01E+04
652.249,9.00E+04
652.912,9.00E+04
653.575,9.00E+04
654.237,9.00E+04
654.9,9.00E+04
655.562,9.00E+04
656.225,9.00E+04
656.888,8.99E+04
657.55,8.99E+04
658.213,8.99E+04
658.875,8.99E+04
659.538,8.99E+04
660.2,8.99E+04
660.863,8.99E+04
661.526,8.98E+04
662.188,8.98E+04
662.851,8.98E+04
663.513,8.98E+04
664.176,8.98E+04
664.839,8.98E+04
665.501,8.98E+04
666.164,8.97E+04
666.826,8.97E+04
667.489,8.97E+04
668.151,8.97E+04
668.814,8.97E+04
669.477,8.97E+04
670.139,8.97E+04
670.802,8.96E+04
671.464,8.96E+04
672.127,8.96E+04
672.79,8.96E+04
673.452,8.96E+04
674.115,8.96E+04
674.777,8.96E+04
675.44,8.95E+04
676.103,8.95E+04
676.765,8.95E+04
677.428,8.95E+04
678.09,8.95E+04
678.753,8.95E+04
679.415,8.95E+04
680.078,8.95E+04
680.741,8.94E+04
681.403,8.94E+04
682.066,8.94E+04
682.728,8.94E+04
683.391,8.94E+04
684.054,8.94E+04
684.716,8.94E+04
685.379,8.93E+04
686.041,8.93E+04
686.704,8.93E+04
687.366,8.93E+04
688.029,8.93E+04
688.692,8.93E+04
689.354,8.93E+04
690.017,8.92E+04
690.679,8.92E+04
691.342,8.92E+04
692.005,8.92E+04
692.667,8.92E+04
693.33,8.92E+04
693.992,8.92E+04
694.655,8.92E+04
695.318,8.91E+04
695.98,8.91E+04
696.643,8.91E+04
697.305,8.91E+04
697.968,8.91E+04
698.63,8.91E+04
699.293,8.91E+04
699.956,8.90E+04
700.618,8.90E+04
701.281,8.90E+04
701.943,8.90E+04
702.606,8.90E+04
703.269,8.90E+04
703.931,8.90E+04
704.594,8.90E+04
705.256,8.89E+04
705.919,8.89E+04
706.581,8.89E+04
707.244,8.89E+04
707.907,8.89E+04
708.569,8.89E+04
709.232,8.89E+04
709.894,8.88E+04
